Regional Team Code,Regional Team Name,Provider Code,Provider Name,Type of Hospital,Month,Year, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks 
Y62,North West Commissioning Region,RXR,East Lancashire Hospitals NHS Trust,NHS,December,2023,"1,197",2,0,0.2%
Y62,North West Commissioning Region,NVG01,Fairfield Hospital,Private,December,2023,41,0,0,0.0%
Y62,North West Commissioning Region,NVC07,Fulwood Hall Hospital,Private,December,2023,2,0,0,0.0%
Y62,North West Commissioning Region,NT420,Highfield Hospital,Private,December,2023,32,0,0,0.0%
Y62,North West Commissioning Region,RW5,Lancashire & South Cumbria NHS Foundation Trust,NHS,December,2023,156,18,3,11.5%
Y62,North West Commissioning Region,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,NHS,December,2023,"2,291",705,55,30.8%
Y62,North West Commissioning Region,RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,NHS,December,2023,"1,007",477,161,47.4%
Y62,North West Commissioning Region,REM,Liverpool University Hospitals NHS Foundation Trust,NHS,December,2023,"2,162",211,5,9.8%
Y62,North West Commissioning Region,NN5,Manchester Surgical Services Ltd,Private,December,2023,193,101,38,52.3%
Y62,North West Commissioning Region,R0A,Manchester University NHS Foundation Trust,NHS,December,2023,"7,227","2,882","1,439",39.9%
Y62,North West Commissioning Region,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,NHS,December,2023,"1,712",18,0,1.1%
Y62,North West Commissioning Region,RBT,Mid Cheshire Hospitals NHS Foundation Trust,NHS,December,2023,"1,560",291,7,18.7%
Y62,North West Commissioning Region,RM3,Northern Care Alliance NHS Foundation Trust,NHS,December,2023,"5,231",228,19,4.4%
Y62,North West Commissioning Region,NT210,"Nuffield Health, The Grosvenor Hospital, Chester",Private,December,2023,20,0,0,0.0%
Y62,North West Commissioning Region,NVC12,Oaklands Hospital,Private,December,2023,99,87,9,87.9%
Y62,North West Commissioning Region,DXV,Omnes Healthcare Ltd,Private,December,2023,38,24,10,63.2%
Y62,North West Commissioning Region,NVC16,Renacres Hospital,Private,December,2023,152,20,0,13.2%
Y62,North West Commissioning Region,NT324,Spire Cheshire Hospital,Private,December,2023,33,0,0,0.0%
Y62,North West Commissioning Region,NT347,Spire Fylde Coast Hospital,Private,December,2023,162,2,1,1.2%
Y62,North West Commissioning Region,NT337,Spire Liverpool Hospital,Private,December,2023,197,6,0,3.0%
Y62,North West Commissioning Region,NT327,Spire Manchester Hospital,Private,December,2023,36,1,1,2.8%
Y62,North West Commissioning Region,NT325,Spire Murrayfield Hospital,Private,December,2023,13,0,0,0.0%
Y62,North West Commissioning Region,NT339,Spire Regency Hospital,Private,December,2023,71,6,1,8.5%
Y62,North West Commissioning Region,RWJ,Stockport NHS Foundation Trust,NHS,December,2023,"1,138",5,0,0.4%
Y62,North West Commissioning Region,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,NHS,December,2023,"1,747",813,78,46.5%
Y62,North West Commissioning Region,RBV,The Christie NHS Foundation Trust,NHS,December,2023,253,5,0,2.0%
Y62,North West Commissioning Region,REN,The Clatterbridge Cancer Centre NHS Foundation Trust,NHS,December,2023,4,0,0,0.0%
Y62,North West Commissioning Region,RET,The Walton Centre NHS Foundation Trust,NHS,December,2023,885,7,2,0.8%
Y62,North West Commissioning Region,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,NHS,December,2023,"1,204",26,1,2.2%
Y62,North West Commissioning Region,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,NHS,December,2023,"1,867",1,0,0.1%
Y62,North West Commissioning Region,RBL,Wirral University Teaching Hospital NHS Foundation Trust,NHS,December,2023,940,24,0,2.6%
Y62,North West Commissioning Region,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",NHS,December,2023,"1,995",458,1,23.0%
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,NHS,December,2023,659,91,3,13.8%
Y63,North East and Yorkshire Commissioning Region,RFF,Barnsley Hospital NHS Foundation Trust,NHS,December,2023,505,36,0,7.1%
Y63,North East and Yorkshire Commissioning Region,RAE,Bradford Teaching Hospitals NHS Foundation Trust,NHS,December,2023,"1,611",570,22,35.4%
Y63,North East and Yorkshire Commissioning Region,RWY,Calderdale and Huddersfield NHS Foundation Trust,NHS,December,2023,"1,049",2,0,0.2%
Y63,North East and Yorkshire Commissioning Region,NVC28,Clifton Park Hospital,Private,December,2023,0,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,RXP,County Durham and Darlington NHS Foundation Trust,NHS,December,2023,"4,089","1,288",4,31.5%
Y63,North East and Yorkshire Commissioning Region,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,NHS,December,2023,"1,123",95,17,8.5%
Y63,North East and Yorkshire Commissioning Region,NT447,Duchy Hospital,Private,December,2023,1,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,RR7,Gateshead Health NHS Foundation Trust,NHS,December,2023,597,44,0,7.4%
Y63,North East and Yorkshire Commissioning Region,RCD,Harrogate and District NHS Foundation Trust,NHS,December,2023,647,178,41,27.5%
Y63,North East and Yorkshire Commissioning Region,NT448,Huddersfield Hospital,Private,December,2023,26,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,RWA,Hull University Teaching Hospitals NHS Trust,NHS,December,2023,"1,431",13,0,0.9%
Y63,North East and Yorkshire Commissioning Region,RR8,Leeds Teaching Hospitals NHS Trust,NHS,December,2023,"2,619",78,15,3.0%
Y63,North East and Yorkshire Commissioning Region,RXF,Mid Yorkshire Teaching NHS Trust,NHS,December,2023,"1,958",12,0,0.6%
Y63,North East and Yorkshire Commissioning Region,RNN,North Cumbria Integrated Care NHS Foundation Trust,NHS,December,2023,"3,145","1,262",202,40.1%
Y63,North East and Yorkshire Commissioning Region,RVW,North Tees and Hartlepool NHS Foundation Trust,NHS,December,2023,"1,834",275,132,15.0%
Y63,North East and Yorkshire Commissioning Region,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,NHS,December,2023,"3,668","1,306",267,35.6%
Y63,North East and Yorkshire Commissioning Region,RTF,Northumbria Healthcare NHS Foundation Trust,NHS,December,2023,"2,811",150,2,5.3%
Y63,North East and Yorkshire Commissioning Region,NT225,"Nuffield Health, Leeds Hospital",Private,December,2023,26,1,0,3.8%
Y63,North East and Yorkshire Commissioning Region,NT229,"Nuffield Health, Newcastle Upon Tyne Hospital",Private,December,2023,0,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,NT237,"Nuffield Health, Tees Hospital",Private,December,2023,16,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,NT245,"Nuffield Health, York Hospital",Private,December,2023,26,5,3,19.2%
Y63,North East and Yorkshire Commissioning Region,NEY,Pioneer Healthcare Limited,Private,December,2023,199,54,1,27.1%
Y63,North East and Yorkshire Commissioning Region,RCU,Sheffield Children's NHS Foundation Trust,NHS,December,2023,297,99,37,33.3%
Y63,North East and Yorkshire Commissioning Region,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,NHS,December,2023,"2,508",143,10,5.7%
Y63,North East and Yorkshire Commissioning Region,RTR,South Tees Hospitals NHS Foundation Trust,NHS,December,2023,"2,412",515,87,21.4%
Y63,North East and Yorkshire Commissioning Region,R0B,South Tyneside and Sunderland NHS Foundation Trust,NHS,December,2023,"1,397",411,89,29.4%
Y63,North East and Yorkshire Commissioning Region,NT348,Spire Elland Hospital,Private,December,2023,36,2,0,5.6%
Y63,North East and Yorkshire Commissioning Region,NT351,Spire Hull and East Riding Hospital,Private,December,2023,380,240,50,63.2%
Y63,North East and Yorkshire Commissioning Region,NT332,Spire Leeds Hospital,Private,December,2023,31,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,NT350,Spire Methley Park Hospital,Private,December,2023,34,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,NT333,Spire Washington Hospital,Private,December,2023,44,1,0,2.3%
Y63,North East and Yorkshire Commissioning Region,NVC0R,Tees Valley Hospital,Private,December,2023,0,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,NID,The Living Care Group,Private,December,2023,0,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NHS,December,2023,"5,664","2,416",559,42.7%
Y63,North East and Yorkshire Commissioning Region,RFR,The Rotherham NHS Foundation Trust,NHS,December,2023,710,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,NVC20,The Yorkshire Clinic,Private,December,2023,12,3,0,25.0%
Y63,North East and Yorkshire Commissioning Region,NT440,Thornbury Hospital,Private,December,2023,29,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,NN4,Tyneside Surgical Services Ltd,Private,December,2023,21,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,NT457,Woodlands Hospital,Private,December,2023,14,0,0,0.0%
Y63,North East and Yorkshire Commissioning Region,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,NHS,December,2023,"2,197",746,408,34.0%
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",NHS,November,2023,"3,761",242,32,6.4%
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,NHS,November,2023,"5,256",888,89,16.9%
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,Private,November,2023,12,0,0,0.0%
Y56,London Commissioning Region,NT406,Blackheath Hospital,Private,November,2023,33,0,0,0.0%
Y56,London Commissioning Region,NT451,Cavell Hospital,Private,November,2023,9,0,0,0.0%
Y56,London Commissioning Region,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,NHS,November,2023,"2,252",38,0,1.7%
Y56,London Commissioning Region,NT409,Chelsfield Park Hospital,Private,November,2023,21,0,0,0.0%
Y56,London Commissioning Region,NT411,Clementine Churchill Hospital,Private,November,2023,40,1,0,2.5%
Y56,London Commissioning Region,RJ6,Croydon Health Services NHS Trust,NHS,November,2023,"1,639",1,1,0.1%
Y56,London Commissioning Region,RVR,Epsom and St Helier University Hospitals NHS Trust,NHS,November,2023,656,9,1,1.4%
Y56,London Commissioning Region,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,NHS,November,2023,625,103,23,16.5%
Y56,London Commissioning Region,RJ1,Guy's and St Thomas' NHS Foundation Trust,NHS,November,2023,"9,158","4,756","2,144",51.9%
Y56,London Commissioning Region,NT416,Hendon Hospital,Private,November,2023,1,0,0,0.0%
Y56,London Commissioning Region,RQX,Homerton Healthcare NHS Foundation Trust,NHS,November,2023,"2,351",372,0,15.8%
Y56,London Commissioning Region,RYJ,Imperial College Healthcare NHS Trust,NHS,November,2023,"2,864",82,7,2.9%
Y56,London Commissioning Region,RJZ,King's College Hospital NHS Foundation Trust,NHS,November,2023,"3,002",801,143,26.7%
Y56,London Commissioning Region,NT421,Kings Oak Hospital,Private,November,2023,0,0,0,0.0%
Y56,London Commissioning Region,RAX,Kingston Hospital NHS Foundation Trust,NHS,November,2023,"1,347",13,0,1.0%
Y56,London Commissioning Region,RJ2,Lewisham and Greenwich NHS Trust,NHS,November,2023,"1,934",17,4,0.9%
Y56,London Commissioning Region,NT422,London Independent Hospital,Private,November,2023,162,8,1,4.9%
Y56,London Commissioning Region,R1K,London North West University Healthcare NHS Trust,NHS,November,2023,"2,854",63,34,2.2%
Y56,London Commissioning Region,RP6,Moorfields Eye Hospital NHS Foundation Trust,NHS,November,2023,168,1,0,0.6%
Y56,London Commissioning Region,RAP,North Middlesex University Hospital NHS Trust,NHS,November,2023,735,1,0,0.1%
Y56,London Commissioning Region,RAL,Royal Free London NHS Foundation Trust,NHS,November,2023,"2,989",11,0,0.4%
Y56,London Commissioning Region,RAN,Royal National Orthopaedic Hospital NHS Trust,NHS,November,2023,"1,644",3,0,0.2%
Y56,London Commissioning Region,NT436,Shirley Oaks Hospital,Private,November,2023,24,1,0,4.2%
Y56,London Commissioning Region,NT437,Sloane Hospital,Private,November,2023,13,1,0,7.7%
Y56,London Commissioning Region,NT314,Spire London East,Private,November,2023,144,11,0,7.6%
Y56,London Commissioning Region,NT3X3,Spire St Anthony's Hospital,Private,November,2023,139,80,57,57.6%
Y56,London Commissioning Region,RJ7,St George's University Hospitals NHS Foundation Trust,NHS,November,2023,"1,754",1,0,0.1%
Y56,London Commissioning Region,RAS,The Hillingdon Hospitals NHS Foundation Trust,NHS,November,2023,822,37,0,4.5%
Y56,London Commissioning Region,RPY,The Royal Marsden NHS Foundation Trust,NHS,November,2023,161,4,0,2.5%
Y56,London Commissioning Region,RRV,University College London Hospitals NHS Foundation Trust,NHS,November,2023,"4,129",382,13,9.3%
Y56,London Commissioning Region,RKE,Whittington Health NHS Trust,NHS,November,2023,"1,126",94,1,8.3%
Y58,South West Commissioning Region,NT402,Bath Clinic,Private,November,2023,9,1,0,11.1%
Y58,South West Commissioning Region,AC7,Cobalt Health,Private,November,2023,117,0,0,0.0%
Y58,South West Commissioning Region,RBD,Dorset County Hospital NHS Foundation Trust,NHS,November,2023,446,4,0,0.9%
Y58,South West Commissioning Region,NVC04,Duchy Hospital,Private,November,2023,0,0,0,0.0%
Y58,South West Commissioning Region,RTE,Gloucestershire Hospitals NHS Foundation Trust,NHS,November,2023,"1,022",0,0,0.0%
Y58,South West Commissioning Region,RN3,Great Western Hospitals NHS Foundation Trust,NHS,November,2023,"1,407",345,87,24.5%
Y58,South West Commissioning Region,NT419,Harbour Hospital,Private,November,2023,0,0,0,0.0%
Y58,South West Commissioning Region,NVC08,Mount Stuart Hospital,Private,November,2023,2,1,0,50.0%
Y58,South West Commissioning Region,NVC09,New Hall Hospital,Private,November,2023,13,0,0,0.0%
Y58,South West Commissioning Region,RVJ,North Bristol NHS Trust,NHS,November,2023,"2,832",114,0,4.0%
Y58,South West Commissioning Region,NT202,"Nuffield Health, Bournemouth Hospital",Private,November,2023,5,0,0,0.0%
Y58,South West Commissioning Region,NT206,"Nuffield Health, Bristol Hospital (Chesterfield)",Private,November,2023,9,2,0,22.2%
Y58,South West Commissioning Region,NT211,"Nuffield Health, Cheltenham Hospital",Private,November,2023,1,0,0,0.0%
Y58,South West Commissioning Region,NTPH2,Practice Plus Group Hospital - Emersons Green,Private,November,2023,62,12,4,19.4%
Y58,South West Commissioning Region,NTPH5,Practice Plus Group Hospital - Plymouth,Private,November,2023,64,2,1,3.1%
Y58,South West Commissioning Region,NTPH1,Practice Plus Group Hospital - Shepton Mallet,Private,November,2023,76,17,3,22.4%
Y58,South West Commissioning Region,NT430,Ridgeway Hospital,Private,November,2023,10,0,0,0.0%
Y58,South West Commissioning Region,REF,Royal Cornwall Hospitals NHS Trust,NHS,November,2023,"5,665","2,767",873,48.8%
Y58,South West Commissioning Region,RH8,Royal Devon University Healthcare NHS Foundation Trust,NHS,November,2023,"3,529","1,040",301,29.5%
Y58,South West Commissioning Region,RD1,Royal United Hospitals Bath NHS Foundation Trust,NHS,November,2023,"1,114",141,15,12.7%
Y58,South West Commissioning Region,RNZ,Salisbury NHS Foundation Trust,NHS,November,2023,542,42,19,7.7%
Y58,South West Commissioning Region,RH5,Somerset NHS Foundation Trust,NHS,November,2023,"2,426",430,26,17.7%
Y58,South West Commissioning Region,NT302,Spire Bristol Hospital,Private,November,2023,19,3,0,15.8%
Y58,South West Commissioning Region,G3Z1Q,Sulis Hospital Bath (Foxcote Avenue),Private,November,2023,37,0,0,0.0%
Y58,South West Commissioning Region,RA9,Torbay and South Devon NHS Foundation Trust,NHS,November,2023,"1,009",343,237,34.0%
Y58,South West Commissioning Region,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,NHS,November,2023,"2,804",286,128,10.2%
Y58,South West Commissioning Region,R0D,University Hospitals Dorset NHS Foundation Trust,NHS,November,2023,"2,284",174,3,7.6%
Y58,South West Commissioning Region,RK9,University Hospitals Plymouth NHS Trust,NHS,November,2023,"1,440",154,37,10.7%
Y58,South West Commissioning Region,NVC22,Winfield Hospital,Private,November,2023,1,0,0,0.0%
Y58,South West Commissioning Region,NT443,Winterbourne Hospital,Private,November,2023,8,1,0,12.5%
Y59,South East Commissioning Region,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,NHS,November,2023,"2,405",174,0,7.2%
Y59,South East Commissioning Region,NVC01,Ashtead Hospital,Private,November,2023,14,2,0,14.3%
Y59,South East Commissioning Region,NWF01,Benenden Hospital,Private,November,2023,0,0,0,0.0%
Y59,South East Commissioning Region,RXQ,Buckinghamshire Healthcare NHS Trust,NHS,November,2023,"3,688","2,323","1,524",63.0%
Y59,South East Commissioning Region,NT408,Chaucer Hospital,Private,November,2023,5,0,0,0.0%
Y59,South East Commissioning Region,NT410,Chiltern Hospital,Private,November,2023,0,0,0,0.0%
Y59,South East Commissioning Region,F9Z4V,Circle Reading Hospital,Private,November,2023,31,0,0,0.0%
Y59,South East Commissioning Region,RN7,Dartford and Gravesham NHS Trust,NHS,November,2023,"1,418",6,0,0.4%
Y59,South East Commissioning Region,RVV,East Kent Hospitals University NHS Foundation Trust,NHS,November,2023,"9,630","2,681",377,27.8%
Y59,South East Commissioning Region,RXC,East Sussex Healthcare NHS Trust,NHS,November,2023,"2,783",228,3,8.2%
Y59,South East Commissioning Region,RDU,Frimley Health NHS Foundation Trust,NHS,November,2023,"1,453",240,119,16.5%
Y59,South East Commissioning Region,NT417,Goring Hall Hospital,Private,November,2023,2,0,0,0.0%
Y59,South East Commissioning Region,NT418,Hampshire Clinic,Private,November,2023,1,0,0,0.0%
Y59,South East Commissioning Region,RN5,Hampshire Hospitals NHS Foundation Trust,NHS,November,2023,"3,256","1,147",207,35.2%
Y59,South East Commissioning Region,NYR,Healthshare Diagnostics,Private,November,2023,"1,727",127,3,7.4%
Y59,South East Commissioning Region,NWX,Here,Private,November,2023,516,60,6,11.6%
Y59,South East Commissioning Region,NV1,Inhealth Limited,Private,November,2023,"7,004",34,4,0.5%
Y59,South East Commissioning Region,R1F,Isle of Wight NHS Trust,NHS,November,2023,591,83,18,14.0%
Y59,South East Commissioning Region,ADP02,Kims Hospital (Newnham Court),Private,November,2023,6,1,0,16.7%
Y59,South East Commissioning Region,RWF,Maidstone and Tunbridge Wells NHS Trust,NHS,November,2023,"2,454",32,1,1.3%
Y59,South East Commissioning Region,DC8,Medical Imaging Partnership Ltd,Private,November,2023,826,12,2,1.5%
Y59,South East Commissioning Region,RPA,Medway NHS Foundation Trust,NHS,November,2023,"1,065",28,4,2.6%
Y59,South East Commissioning Region,NTPAA,Mid & South Buckinghamshire Diagnostic NHS Centre,NHS,November,2023,"1,664",619,53,37.2%
Y59,South East Commissioning Region,NT455,Mount Alvernia Hospital,Private,November,2023,0,0,0,0.0%
Y59,South East Commissioning Region,NT205,"Nuffield Health, Brighton Hospital",Private,November,2023,4,2,2,50.0%
Y59,South East Commissioning Region,RTH,Oxford University Hospitals NHS Foundation Trust,NHS,November,2023,"5,152",517,65,10.0%
Y59,South East Commissioning Region,RHU,Portsmouth Hospitals University National Health Service Trust,NHS,November,2023,"1,408",312,88,22.2%
Y59,South East Commissioning Region,NTP11,Practice Plus Group Hospital - Southampton,Private,November,2023,4,4,4,100.0%
Y59,South East Commissioning Region,NTPAD,Practice Plus Group Surgical Centre - St Marys Portsmouth,Private,November,2023,0,0,0,0.0%
Y59,South East Commissioning Region,NT428,Princess Margaret Hospital,Private,November,2023,5,0,0,0.0%
Y59,South East Commissioning Region,RPC,Queen Victoria Hospital NHS Foundation Trust,NHS,November,2023,180,0,0,0.0%
Y59,South East Commissioning Region,RHW,Royal Berkshire NHS Foundation Trust,NHS,November,2023,"2,051",32,2,1.6%
Y59,South East Commissioning Region,RA2,Royal Surrey County Hospital NHS Foundation Trust,NHS,November,2023,"1,106",9,0,0.8%
Y59,South East Commissioning Region,NT431,Runnymede Hospital,Private,November,2023,3,0,0,0.0%
Y59,South East Commissioning Region,NT433,Sarum Road Hospital,Private,November,2023,8,0,0,0.0%
Y59,South East Commissioning Region,R1C,Solent NHS Trust,NHS,November,2023,433,1,0,0.2%
Y59,South East Commissioning Region,RW1,Southern Health NHS Foundation Trust,NHS,November,2023,320,3,0,0.9%
Y59,South East Commissioning Region,NT312,Spire Alexandra Hospital,Private,November,2023,253,3,0,1.2%
Y59,South East Commissioning Region,NT345,Spire Clare Park Hospital,Private,November,2023,3,0,0,0.0%
Y59,South East Commissioning Region,NT344,Spire Dunedin Hospital,Private,November,2023,2,2,2,100.0%
Y59,South East Commissioning Region,NT308,Spire Gatwick Park Hospital,Private,November,2023,92,32,22,34.8%
Y59,South East Commissioning Region,NT364,Spire Montefiore Hospital,Private,November,2023,0,0,0,0.0%
Y59,South East Commissioning Region,NT305,Spire Portsmouth Hospital,Private,November,2023,20,0,0,0.0%
Y59,South East Commissioning Region,NT304,Spire Southampton Hospital,Private,November,2023,13,1,0,7.7%
Y59,South East Commissioning Region,NT343,Spire Thames Valley Hospital,Private,November,2023,0,0,0,0.0%
Y59,South East Commissioning Region,NT310,Spire Tunbridge Wells Hospital,Private,November,2023,765,52,16,6.8%
Y59,South East Commissioning Region,RTP,Surrey and Sussex Healthcare NHS Trust,NHS,November,2023,"1,483",86,17,5.8%
Y59,South East Commissioning Region,AJX,Sussex MSK Partnership 2,Private,November,2023,260,14,4,5.4%
Y59,South East Commissioning Region,NVC02,The Berkshire Independent Hospital,Private,November,2023,3,0,0,0.0%
Y59,South East Commissioning Region,NVC25,The Cherwell Hospital,Private,November,2023,6,0,0,0.0%
Y59,South East Commissioning Region,NXM01,The Horder Centre - St Johns Road,Private,November,2023,6,0,0,0.0%
Y59,South East Commissioning Region,RHM,University Hospital Southampton NHS Foundation Trust,NHS,November,2023,"1,579",243,56,15.4%
Y59,South East Commissioning Region,RYR,University Hospitals Sussex NHS Foundation Trust,NHS,November,2023,"3,866",952,529,24.6%
Y60,Midlands Commissioning Region,NVC0I,Beacon Park Hospital,Private,November,2023,11,6,0,54.5%
Y60,Midlands Commissioning Region,RQ3,Birmingham Women's and Children's NHS Foundation Trust,NHS,November,2023,346,78,12,22.5%
Y60,Midlands Commissioning Region,NVC27,Boston West Hospital,Private,November,2023,0,0,0,0.0%
Y60,Midlands Commissioning Region,RFS,Chesterfield Royal Hospital NHS Foundation Trust,NHS,November,2023,853,13,2,1.5%
Y60,Midlands Commissioning Region,NT412,Droitwich Spa Hospital,Private,November,2023,31,1,1,3.2%
Y60,Midlands Commissioning Region,RLT,George Eliot Hospital NHS Trust,NHS,November,2023,960,42,0,4.4%
Y60,Midlands Commissioning Region,RNQ,Kettering General Hospital NHS Foundation Trust,NHS,November,2023,"1,578",139,54,8.8%
Y60,Midlands Commissioning Region,NT450,Lincoln Hospital,Private,November,2023,14,0,0,0.0%
Y60,Midlands Commissioning Region,NT424,Meriden Hospital,Private,November,2023,74,0,0,0.0%
Y60,Midlands Commissioning Region,RNS,Northampton General Hospital NHS Trust,NHS,November,2023,"1,249",20,1,1.6%
Y60,Midlands Commissioning Region,RX1,Nottingham University Hospitals NHS Trust,NHS,November,2023,"3,832","1,586",902,41.4%
Y60,Midlands Commissioning Region,NT213,"Nuffield Health, Derby Hospital",Private,November,2023,39,1,0,2.6%
Y60,Midlands Commissioning Region,NT219,"Nuffield Health, Hereford Hospital",Private,November,2023,0,0,0,0.0%
Y60,Midlands Commissioning Region,NT226,"Nuffield Health, Leicester Hospital",Private,November,2023,9,0,0,0.0%
Y60,Midlands Commissioning Region,NT230,"Nuffield Health, North Staffordshire Hospital",Private,November,2023,43,0,0,0.0%
Y60,Midlands Commissioning Region,NT242,"Nuffield Health, Wolverhampton Hospital",Private,November,2023,5,0,0,0.0%
Y60,Midlands Commissioning Region,NT427,Park Hospital,Private,November,2023,7,0,0,0.0%
Y60,Midlands Commissioning Region,NTP13,Practice Plus Group Hospital - Barlborough,Private,November,2023,27,0,0,0.0%
Y60,Midlands Commissioning Region,NT429,Priory Hospital,Private,November,2023,27,0,0,0.0%
Y60,Midlands Commissioning Region,RXK,Sandwell and West Birmingham Hospitals NHS Trust,NHS,November,2023,"2,178",156,101,7.2%
Y60,Midlands Commissioning Region,RK5,Sherwood Forest Hospitals NHS Foundation Trust,NHS,November,2023,"1,286",139,14,10.8%
Y60,Midlands Commissioning Region,RJC,South Warwickshire University NHS Foundation Trust,NHS,November,2023,"1,494",12,0,0.8%
Y60,Midlands Commissioning Region,NT322,Spire Leicester Hospital,Private,November,2023,6,0,0,0.0%
Y60,Midlands Commissioning Region,NT321,Spire Little Aston Hospital,Private,November,2023,16,3,0,18.8%
Y60,Midlands Commissioning Region,NT30A,Spire Nottingham Hospital,Private,November,2023,45,1,0,2.2%
Y60,Midlands Commissioning Region,NT320,Spire Parkway Hospital,Private,November,2023,74,5,1,6.8%
Y60,Midlands Commissioning Region,NT301,Spire South Bank Hospital,Private,November,2023,38,1,0,2.6%
Y60,Midlands Commissioning Region,RNA,The Dudley Group NHS Foundation Trust,NHS,November,2023,"2,872",216,43,7.5%
Y60,Midlands Commissioning Region,RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,NHS,November,2023,314,2,0,0.6%
Y60,Midlands Commissioning Region,RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,NHS,November,2023,"1,126",2,0,0.2%
Y60,Midlands Commissioning Region,RL4,The Royal Wolverhampton NHS Trust,NHS,November,2023,"3,321",66,1,2.0%
Y60,Midlands Commissioning Region,RXW,The Shrewsbury and Telford Hospital NHS Trust,NHS,November,2023,"1,406",52,1,3.7%
Y60,Midlands Commissioning Region,NT441,Three Shires Hospital,Private,November,2023,20,1,0,5.0%
Y60,Midlands Commissioning Region,RWD,United Lincolnshire Hospitals NHS Trust,NHS,November,2023,"4,785","1,504",155,31.4%
Y60,Midlands Commissioning Region,RRK,University Hospitals Birmingham NHS Foundation Trust,NHS,November,2023,"4,845",439,179,9.1%
Y60,Midlands Commissioning Region,RKB,University Hospitals Coventry and Warwickshire NHS Trust,NHS,November,2023,"5,751",180,30,3.1%
Y60,Midlands Commissioning Region,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,NHS,November,2023,"3,381",513,359,15.2%
Y60,Midlands Commissioning Region,RWE,University Hospitals of Leicester NHS Trust,NHS,November,2023,"5,435","1,219",540,22.4%
Y60,Midlands Commissioning Region,RJE,University Hospitals of North Midlands NHS Trust,NHS,November,2023,"3,339",65,1,1.9%
Y60,Midlands Commissioning Region,RBK,Walsall Healthcare NHS Trust,NHS,November,2023,"2,693",4,0,0.1%
Y60,Midlands Commissioning Region,NVC21,West Midlands Hospital,Private,November,2023,0,0,0,0.0%
Y60,Midlands Commissioning Region,NVC23,Woodland Hospital,Private,November,2023,29,0,0,0.0%
Y60,Midlands Commissioning Region,NVC40,Woodthorpe Hospital,Private,November,2023,4,0,0,0.0%
Y60,Midlands Commissioning Region,RWP,Worcestershire Acute Hospitals NHS Trust,NHS,November,2023,"1,741",60,30,3.4%
Y60,Midlands Commissioning Region,RLQ,Wye Valley NHS Trust,NHS,November,2023,539,22,7,4.1%
Y61,East of England Commissioning Region,NT933,Alliance Medical MRI Service - Essex,Private,November,2023,0,0,0,0.0%
Y61,East of England Commissioning Region,RC9,Bedfordshire Hospitals NHS Foundation Trust,NHS,November,2023,"3,614",949,56,26.3%
Y61,East of England Commissioning Region,RGT,Cambridge University Hospitals NHS Foundation Trust,NHS,November,2023,"2,525",282,81,11.2%
Y61,East of England Commissioning Region,RWH,East and North Hertfordshire NHS Trust,NHS,November,2023,"3,837","2,254",957,58.7%
Y61,East of England Commissioning Region,RDE,East Suffolk and North Essex NHS Foundation Trust,NHS,November,2023,"2,462",350,2,14.2%
Y61,East of England Commissioning Region,NVC06,Fitzwilliam Hospital,Private,November,2023,10,1,0,10.0%
